period,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,beta_0,beta_1,beta_2,beta_3,beta_4
33,0.30128748291464796,0.9088103824121463,0.15502548003842767,0.5453757754670828,0.07907432730925001,-0.032358723240742106,-3.669211242999597e-18,-1.0898346315825366e-19,-0.5933178937112675,-4.336808689942067e-19
34,0.30216102687174473,0.9020947595281633,0.1650667021167925,0.5054287910030923,0.08665911954506512,-0.029016643527819845,0.0,0.0,-0.5445858300366051,-1.0842021724855054e-19
35,0.3028759704768377,0.894717670371961,0.17629942099533621,0.4616579674196197,0.09580392205191816,-0.025590615334568294,-4.730413660355656e-19,0.0,-0.49063440485174564,-5.421010862427526e-20
36,0.30341401728676587,0.8848998554401115,0.1881132264216774,0.4193198083026068,0.10607655562165405,-0.021562826425077494,-9.293134700296273e-18,-1.3230310868704113e-18,-0.43736112962517953,0.0
37,0.28883940887023757,0.8389617341321096,0.20036975961745027,0.49782593407098297,0.3226902772957322,-6.182192343673955e-19,0.0,0.0,-0.5060945929729829,-0.21198011354457766
38,0.2954057983401157,0.8244598909558404,0.21184603497828278,0.42242264173632066,0.4049283938864869,-7.30462334204921e-20,-8.427148596259344e-19,0.0,-0.41845189343382255,-0.2886165185807507
39,0.30319017932069303,0.807369839782944,0.22197729126370463,0.3421754925655255,0.4935687561343035,-1.0873571314148089e-20,-1.2156081238424065e-18,0.0,-0.3257345501173269,-0.3722092907442712
40,0.31215625838124267,0.7878110778003937,0.23018697302522448,0.2577193265970247,0.5878487491704601,-1.8259655514269463e-19,0.0,0.0,-0.2283910127080047,-0.46186426961014354
41,0.32208495659343733,0.7661346089451713,0.2360553332114344,0.1697747151262587,0.686821677997463,-3.504146434597781e-20,-2.2642695631557463e-18,-4.881158072161782e-19,-0.12675424736212249,-0.5563065020881173
42,0.3326386032012018,0.7428502028667362,0.23934416799096334,0.07911509940020564,0.7894200744570926,0.0,0.0,-2.9066942517431382e-18,-0.021111612672663357,-0.6540293494066389
43,0.34620275975161924,0.7012823336912019,0.2399707155034226,0.06968328242682026,0.8278495495888313,0.0,-3.2832894406230878e-19,0.0,-2.1603825890849062e-18,-0.6850804174116615
44,0.3600711376576667,0.6543747783975956,0.2382874270927424,0.08260399353591956,0.8492281075181001,-1.688995993932924e-19,-1.9650825545572228e-18,0.0,0.0,-0.6976813339197564
45,0.3732092534320013,0.6069968842790633,0.23477631483153427,0.098219430781555,0.8688132400329261,-1.1148646130239028e-18,-3.509247250933339e-18,0.0,-2.068829668725307e-19,-0.707289248082394
46,0.38540072909206774,0.5599352561892891,0.23004874204187215,0.11645593883018397,0.8860430324844746,0.0,0.0,0.0,0.0,-0.7132507287870916
47,0.3966136334510867,0.513935789866268,0.22482001719320924,0.1368965326147208,0.9006003857031353,0.0,-2.0186229793629547e-18,0.0,-3.969036418941859e-19,-0.7153645791790463
48,0.40698622148809394,0.46970000930562594,0.21981436269957963,0.1588517337461496,0.912349502868692,-7.878299144958703e-19,-1.1749425417525853e-18,0.0,0.0,-0.7137758369125528
49,0.416821513603817,0.4278305617619548,0.21571460411004223,0.1813867939086016,0.9213736931777542,-1.0740776719882428e-18,0.0,0.0,0.0,-0.7090267873482122
50,0.42654674596580294,0.38879003485101543,0.21307836832552118,0.20343392993342105,0.9279353141736825,-3.177172105156545e-20,-1.284847188985312e-18,0.0,-4.47644682993979e-19,-0.7019614120661563
51,0.43665276188176133,0.3528767145187176,0.2122990171017296,0.22390667658374963,0.9324370603401692,-2.8396153887654304e-19,0.0,0.0,-1.0529878497010367e-18,-0.6936332960709135
52,0.44762933280026335,0.32021050368534143,0.21360232502411025,0.24180388350840604,0.9353875052745597,0.0,-1.7562216604019508e-18,0.0,-3.3552092518328314e-19,-0.6852134155126426
53,0.4599058463137799,0.2907347373820282,0.21704911461565857,0.2563029778931553,0.9373530216234897,0.0,-9.333948551166253e-19,-2.1438359617011265e-17,-1.3868018137549874e-18,-0.6778669949514664
54,0.47379644631854545,0.2642520215543454,0.222552947798662,0.26683221158253817,0.9388894966194168,-1.5147796469082992e-19,-4.619819358495767e-19,0.0,0.0,-0.6726029235753958
55,0.48948239977920077,0.2404492588819726,0.22993513792691464,0.2730729643806874,0.9405289119099486,-1.120126715445251e-18,-3.017094067193254e-19,-1.922383681429843e-17,0.0,-0.6702365123450302
56,0.5055809356648506,0.233824717619578,0.2338247176195782,0.2767598640929119,0.9253447171006318,-4.8235787863253555e-19,0.0,0.0,0.0,-0.6500035076066639
57,0.5225144033025116,0.236475146289414,0.2364751462894138,0.27743847922089043,0.9023175685132568,0.0,0.0,0.0,0.0,-0.6223571360876647
58,0.5412149458908787,0.2370925935343888,0.24133536659798524,0.2739923091938444,0.8797858215508907,0.0,-1.3193262330980523e-17,0.0,0.0,-0.5981855951629279
59,0.5632809727292998,0.22163398101600415,0.25319001836980565,0.26432673384683936,0.8534001424837392,-1.7210328251243662e-18,-6.686810313745339e-18,-4.875238618436223e-19,-2.934193093191562e-20,-0.5768798371237759
60,0.5863667258821441,0.2068437173774064,0.26555546785338324,0.25177175729897694,0.828710889173999,0.0,-6.3146298083996794e-18,0.0,0.0,-0.5589495649119697
