c_index,context,period,state,action,reward,next_state
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",54,"[18, 2, 0.9]",0.9,0.0,"[18, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",55,"[18, 2, 0.9]",0.9,0.0,"[18, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",56,"[18, 2, 0.9]",0.9,0.0,"[18, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",57,"[18, 2, 0.9]",0.9,0.0,"[18, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",58,"[18, 2, 0.9]",0.9,0.0,"[18, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",59,"[18, 2, 0.9]",0.9,0.0,"[18, 2, 0.9]"
3,"[0.5329, 0.0, 0.0, 0.0475, 0.2617]",60,"[18, 2, 0.9]",0.7,0.0,"[18, 1, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",1,"[17, 6, -1]",0.7,0.0,"[17, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",2,"[17, 5, 0.7]",0.7,0.7,"[16, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",3,"[16, 5, 0.7]",0.7,0.0,"[16, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",4,"[16, 5, 0.7]",0.7,0.7,"[15, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",5,"[15, 5, 0.7]",0.7,0.7,"[14, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",6,"[14, 5, 0.7]",0.7,0.7,"[13, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",7,"[13, 5, 0.7]",0.7,0.7,"[12, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",8,"[12, 5, 0.7]",0.7,0.0,"[12, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",9,"[12, 5, 0.7]",0.7,0.7,"[11, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",10,"[11, 5, 0.7]",0.7,0.7,"[10, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",11,"[10, 5, 0.7]",0.7,0.7,"[9, 5, 0.7]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",12,"[9, 5, 0.7]",0.8,0.8,"[8, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",13,"[8, 4, 0.8]",0.8,0.8,"[7, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",14,"[7, 4, 0.8]",0.8,0.8,"[6, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",15,"[6, 4, 0.8]",0.8,0.8,"[5, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",16,"[5, 4, 0.8]",0.8,0.8,"[4, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",17,"[4, 4, 0.8]",0.8,0.8,"[3, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",18,"[3, 4, 0.8]",0.8,0.8,"[2, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",19,"[2, 4, 0.8]",0.8,0.8,"[1, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",20,"[1, 4, 0.8]",0.8,0.0,"[1, 4, 0.8]"
4,"[0.5329, 0.5329, 0.0, 0.531, 0.1195]",21,"[1, 4, 0.8]",0.8,0.8,"[0, 4, 0.8]"
